orderNumber,status,customerNumber
10100,Shipped,363
10101,Shipped,128
10102,Shipped,181
10103,Shipped,121
10104,Shipped,141
10105,Shipped,145
10106,Shipped,278
10107,Shipped,131
10108,Shipped,385
10109,Shipped,486
10110,Shipped,187
10111,Shipped,129
10112,Shipped,144
10113,Shipped,124
10114,Shipped,172
10115,Shipped,424
10116,Shipped,381
10117,Shipped,148
10118,Shipped,216
10119,Shipped,382
10120,Shipped,114
10121,Shipped,353
10122,Shipped,350
10123,Shipped,103
10124,Shipped,112
10125,Shipped,114
10126,Shipped,458
10127,Shipped,151
10128,Shipped,141
10129,Shipped,324
10130,Shipped,198
10131,Shipped,447
10132,Shipped,323
10133,Shipped,141
10134,Shipped,250
10135,Shipped,124
10136,Shipped,242
10137,Shipped,353
10138,Shipped,496
10139,Shipped,282
10140,Shipped,161
10141,Shipped,334
10142,Shipped,124
10143,Shipped,320
10144,Shipped,381
10145,Shipped,205
10146,Shipped,447
10147,Shipped,379
10148,Shipped,276
10149,Shipped,487
10150,Shipped,148
10151,Shipped,311
10152,Shipped,333
10153,Shipped,141
10154,Shipped,219
10155,Shipped,186
10156,Shipped,141
10157,Shipped,473
10158,Shipped,121
10159,Shipped,321
10160,Shipped,347
10161,Shipped,227
10162,Shipped,321
10163,Shipped,424
10164,Resolved,452
10165,Shipped,148
10166,Shipped,462
10167,Cancelled,448
10168,Shipped,161
10169,Shipped,276
10170,Shipped,452
10171,Shipped,233
10172,Shipped,175
10173,Shipped,278
10174,Shipped,333
10175,Shipped,324
10176,Shipped,386
10177,Shipped,344
10178,Shipped,242
10179,Cancelled,496
10180,Shipped,171
10181,Shipped,167
10182,Shipped,124
10183,Shipped,339
10184,Shipped,484
10185,Shipped,320
10186,Shipped,489
10187,Shipped,211
10188,Shipped,167
10189,Shipped,205
10190,Shipped,141
10191,Shipped,259
10192,Shipped,363
10193,Shipped,471
10194,Shipped,146
10195,Shipped,319
10196,Shipped,455
10197,Shipped,216
10198,Shipped,385
10199,Shipped,475
10200,Shipped,211
10201,Shipped,129
10202,Shipped,357
10203,Shipped,141
10204,Shipped,151
10205,Shipped,141
10206,Shipped,202
10207,Shipped,495
10208,Shipped,146
10209,Shipped,347
10210,Shipped,177
10211,Shipped,406
10212,Shipped,141
10213,Shipped,489
10214,Shipped,458
10215,Shipped,475
10216,Shipped,256
10217,Shipped,166
10218,Shipped,473
10219,Shipped,487
10220,Shipped,189
10221,Shipped,314
10222,Shipped,239
10223,Shipped,114
10224,Shipped,171
10225,Shipped,298
10226,Shipped,239
10227,Shipped,146
10228,Shipped,173
10229,Shipped,124
10230,Shipped,128
10231,Shipped,344
10232,Shipped,240
10233,Shipped,328
10234,Shipped,412
10235,Shipped,260
10236,Shipped,486
10237,Shipped,181
10238,Shipped,145
10239,Shipped,311
10240,Shipped,177
10241,Shipped,209
10242,Shipped,456
10243,Shipped,495
10244,Shipped,141
10245,Shipped,455
10246,Shipped,141
10247,Shipped,334
10248,Cancelled,131
10249,Shipped,173
10250,Shipped,450
10251,Shipped,328
10252,Shipped,406
10253,Cancelled,201
10254,Shipped,323
10255,Shipped,209
10256,Shipped,145
10257,Shipped,450
10258,Shipped,398
